label,alg,district,baseline,best_reward,final_reward,best_step,n_eval_points,best_delta,final_delta
Full TopK12,REINFORCE,성동구,-594.8518857697841,-637.3704195220671,-655.5088085437206,50,11,-42.51853375228302,-60.65692277393657
Full TopK12,REINFORCE,성북구,-102.0627157134765,-116.82676552678657,-136.3400443818728,250,11,-14.764049813310066,-34.27732866839628
Full TopK12,REINFORCE,송파구,-1225.7996363883465,-1173.6787381059023,-1173.8190562112452,250,11,52.12089828244416,51.980580177101274
Full TopK12,REINFORCE,양천구,-1083.3153729974601,-1030.0009909188873,-1056.8517753107278,450,11,53.31438207857286,26.463597686732328
Full TopK12,REINFORCE,영등포구,-1896.9705988373582,-1934.6996359464765,-1970.4660187325255,1,11,-37.72903710911828,-73.49541989516729
Full TopK12,REINFORCE,용산구,-66.89860792865139,-70.73815758080657,-70.73815758080657,200,11,-3.839549652155185,-3.839549652155185
Full TopK12,REINFORCE,은평구,-150.21607343804496,-159.31025083348638,-218.06603004354977,250,11,-9.09417739544142,-67.84995660550481
Full TopK12,REINFORCE,종로구,-268.2836955125016,-308.384405182862,-310.9838753084306,250,11,-40.1007096703604,-42.70017979592899
Full TopK12,REINFORCE,중구,-182.61475511225203,-231.53262234747447,-247.16851203211698,50,11,-48.917867235222445,-64.55375691986495
Full TopK12,REINFORCE,중랑구,-161.6356754974581,-154.60864890493357,-154.60864890493357,500,11,7.027026592524521,7.027026592524521
Full TopK12,A2C,강남구,-350.3599508836934,-319.08191777567583,-319.08191777567583,50,11,31.278033108017553,31.278033108017553
Full TopK12,A2C,강동구,-334.2573463233564,-328.115880224454,-328.115880224454,50,11,6.141466098902413,6.141466098902413
Full TopK12,A2C,강북구,-13.616036756349311,-14.214182531560498,-14.905742740045532,50,11,-0.5981457752111865,-1.289705983696221
Full TopK12,A2C,강서구,-2676.0772020562486,-2637.33981360554,-2637.33981360554,50,11,38.73738845070875,38.73738845070875
Full TopK12,A2C,관악구,-73.94744718722015,-100.27665435724228,-100.47341333936633,400,11,-26.32920717002213,-26.525966152146182
Full TopK12,A2C,광진구,-591.597740357906,-571.9367156520731,-571.9367156520731,100,11,19.661024705832915,19.661024705832915
Full TopK12,A2C,구로구,-609.5512092114152,-582.6817558902457,-624.9832280754731,50,11,26.869453321169544,-15.432018864057909
Full TopK12,A2C,금천구,-256.21739023640725,-249.10952431571818,-249.10963919790441,350,11,7.107865920689079,7.10775103850284
Full TopK12,A2C,노원구,-457.180474730789,-404.23361245537643,-410.23342308420183,50,11,52.94686227541257,46.94705164658717
Full TopK12,A2C,도봉구,-82.2353194406718,-87.71972471744401,-87.71972471744401,50,11,-5.484405276772208,-5.484405276772208
Full TopK12,A2C,동대문구,-321.128317502743,-314.8661891278425,-314.8661891278425,50,11,6.262128374900499,6.262128374900499
Full TopK12,A2C,동작구,-97.78108169902266,-103.00469777177672,-103.00469777177672,150,11,-5.223616072754055,-5.223616072754055
Full TopK12,A2C,마포구,-490.3667980298629,-445.7524071909575,-445.7524071909575,50,11,44.614390838905365,44.614390838905365
Full TopK12,A2C,서대문구,-139.25862312292162,-156.3630523320449,-156.55933984942737,50,11,-17.104429209123282,-17.300716726505755
Full TopK12,A2C,서초구,-173.73157119184765,-146.65592662612332,-146.65592662612332,500,11,27.075644565724332,27.075644565724332
