alg,gu,k,base,best_ep,best,final,best_delta,final_delta
REINFORCE,강서구,12,-2676.0772020562486,140,-2724.915156022049,-2724.915156022049,-48.83795396580035,-48.83795396580035
REINFORCE,관악구,12,-73.94744718722015,100,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
REINFORCE,구로구,12,-609.5512092114152,120,-677.4640959611186,-684.5913229970241,-67.91288674970338,-75.04011378560892
REINFORCE,노원구,12,-457.180474730789,60,-404.1185918185502,-404.23361245537643,53.06188291223879,52.94686227541257
REINFORCE,서대문구,12,-139.25862312292162,1,-166.52414635865912,-228.79788082668065,-27.265523235737504,-89.53925770375903
REINFORCE,성북구,12,-102.0627157134765,180,-136.30201869322846,-155.1950271366785,-34.239302979751955,-53.132311423202
REINFORCE,송파구,12,-1225.7996363883465,1,-1176.8262243288846,-1379.8986634439718,48.97341205946191,-154.09902705562536
REINFORCE,양천구,12,-1083.3153729974601,80,-1030.507725274065,-1030.507725274065,52.80764772339512,52.80764772339512
REINFORCE,영등포구,12,-1896.9705988373582,60,-1889.3604220674356,-1979.7692561188844,7.610176769922646,-82.79865728152618
REINFORCE,중구,12,-182.61475511225203,80,-201.4581798976751,-239.16868228163136,-18.843424785423082,-56.553927169379335
REINFORCE,강서구,15,-2676.0772020562486,100,-2724.915156022049,-2724.915156022049,-48.83795396580035,-48.83795396580035
REINFORCE,관악구,15,-73.94744718722015,20,-100.4202977896955,-119.54732694718619,-26.472850602475347,-45.59987975996604
REINFORCE,구로구,15,-609.5512092114152,140,-624.9832280754731,-624.9832280754731,-15.432018864057909,-15.432018864057909
REINFORCE,노원구,15,-457.180474730789,200,-551.5887519466997,-551.5887519466997,-94.40827721591074,-94.40827721591074
REINFORCE,서대문구,15,-139.25862312292162,180,-179.08168055059753,-203.37209163811264,-39.823057427675906,-64.11346851519102
REINFORCE,성북구,15,-102.0627157134765,100,-116.7759471220474,-117.01647642312257,-14.713231408570891,-14.953760709646062
REINFORCE,송파구,15,-1225.7996363883465,60,-1173.8190562112452,-1173.8190562112452,51.980580177101274,51.980580177101274
REINFORCE,양천구,15,-1083.3153729974601,160,-1070.482643637123,-1256.8069212880123,12.832729360337225,-173.49154829055215
REINFORCE,영등포구,15,-1896.9705988373582,60,-1870.634761684917,-1884.7085001708629,26.335837152441172,12.262098666495376
REINFORCE,중구,15,-182.61475511225203,1,-180.65094036442065,-246.68699252089652,1.9638147478313783,-64.0722374086445
REINFORCE,강서구,3,-2676.0772020562486,1,-2637.33981360554,-2637.33981360554,38.73738845070875,38.73738845070875
REINFORCE,관악구,3,-73.94744718722015,20,-100.47341333936633,-111.41486506277391,-26.525966152146182,-37.467417875553764
REINFORCE,구로구,3,-609.5512092114152,200,-586.7666217386775,-586.7666217386775,22.784587472737712,22.784587472737712
REINFORCE,노원구,3,-457.180474730789,1,-430.417283924609,-430.48561976414857,26.763190806179978,26.694854966640435
REINFORCE,서대문구,3,-139.25862312292162,1,-171.1821142047427,-171.1821142047427,-31.923491081821084,-31.923491081821084
REINFORCE,성북구,3,-102.0627157134765,20,-118.62604908448944,-135.1531920816462,-16.56333337101293,-33.0904763681697
REINFORCE,송파구,3,-1225.7996363883465,20,-1243.236743769625,-1243.236743769625,-17.437107381278565,-17.437107381278565
REINFORCE,양천구,3,-1083.3153729974601,40,-1043.7330087212072,-1086.6947025736492,39.582364276252974,-3.379329576189093
REINFORCE,영등포구,3,-1896.9705988373582,20,-1848.6008876459975,-1896.612761376914,48.36971119136069,0.35783746044421605
REINFORCE,중구,3,-182.61475511225203,60,-180.41185922385807,-189.81204089026778,2.202895888393954,-7.197285778015754
REINFORCE,강서구,6,-2676.0772020562486,160,-2670.9464491480844,-2764.4951409815753,5.1307529081641405,-88.41793892532678
REINFORCE,관악구,6,-73.94744718722015,160,-100.47341333936633,-100.47341333936633,-26.525966152146182,-26.525966152146182
REINFORCE,구로구,6,-609.5512092114152,60,-596.4805136046493,-658.6067560543336,13.070695606765867,-49.055546842918375
