district,k,seed,timesteps,eval_reward,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,policy_gradient_loss,value_loss,baseline,eval_delta
동대문구,3,42,80000.0,-324.65305484273597,2.1745683625340462e-05,0.0,0.1,-0.7167443990707397,0.3702845573425293,0.0001,969.0130004882812,-1.9281450659036636e-05,2451.8330322265624,-321.128317502743,-3.524737339992953
동대문구,3,42,100000.0,-334.76654033929697,3.5120174288749695e-06,0.0,0.1,-0.8177964746952057,0.8558898568153381,0.0001,28.17719078063965,0.00017321594059467317,81.86729049682617,-321.128317502743,-13.63822283655395
동대문구,3,42,120000.0,-341.2737576730208,0.00010338262654840946,0.0,0.1,-0.8870477497577667,0.2085621953010559,0.0001,27.861148834228516,-0.0007957630325108767,65.34552879333496,-321.128317502743,-20.145440170277766
동대문구,3,42,140000.0,-339.217104994462,2.1512387320399284e-05,0.0,0.1,-0.6631785750389099,0.8087835311889648,0.0001,24.3881778717041,-0.0001573569606989622,67.21548919677734,-321.128317502743,-18.08878749171896
동대문구,3,42,160000.0,-317.6544363568734,1.2919306755065918e-05,0.0,0.1,-0.8541235625743866,0.6663023233413696,0.0001,189.20468139648438,-0.0003149835392832756,410.452490234375,-321.128317502743,3.4738811458695977
동대문구,3,42,170000.0,-315.93255617540524,1.6516190953552723e-05,0.0,0.1,-0.7396766722202301,0.5795650482177734,0.0001,937.5009765625,-0.0006536039523780346,1691.1462646484374,-321.128317502743,5.195761327337777
동대문구,3,777,20000.0,-315.29366871271384,2.5908229872584343e-06,0.0,0.1,-1.0002761840820313,0.012249886989593506,0.0001,520.364501953125,-4.2100809514522554e-05,979.9839233398437,-321.128317502743,5.834648790029178
동대문구,3,777,40000.0,-315.29366871271384,0.0005356367328204215,0.0,0.1,-0.7800174176692962,0.23288732767105103,0.0001,291.1387634277344,-0.002962541114538908,667.1219482421875,-321.128317502743,5.834648790029178
동대문구,3,777,60000.0,-315.4766845534684,3.266730345785618e-06,0.0,0.1,-0.8460855126380921,0.0625792145729065,0.0001,443.88153076171875,0.0001033781562000513,1090.5072021484375,-321.128317502743,5.651632949274642
동대문구,3,777,80000.0,-320.4750224051849,6.714719347655773e-06,0.0,0.1,-0.6582668364048004,0.8903716802597046,0.0001,27.537031173706055,-0.0001129655633121729,71.40735130310058,-321.128317502743,0.6532950975581002
동대문구,3,777,100000.0,-315.5214538019602,0.0001605669967830181,0.0,0.1,-0.8167792797088623,0.6925932168960571,0.0001,87.62512969970703,-0.0006702673621475696,135.21986618041993,-321.128317502743,5.60686370078281
동대문구,3,777,120000.0,-315.29366871271384,2.4691689759492874e-06,0.0,0.1,-0.6091926515102386,0.5053126811981201,0.0001,761.6078491210938,-6.82968646287918e-05,1076.3405212402345,-321.128317502743,5.834648790029178
동대문구,3,777,140000.0,-315.29366871271384,1.17794843390584e-05,0.0,0.1,-0.5441555321216583,0.7423064708709717,0.0001,143.10980224609375,-0.000166445504873991,260.1948303222656,-321.128317502743,5.834648790029178
동대문구,3,777,160000.0,-315.29366871271384,2.7414032956585288e-05,0.0,0.1,-0.26814485192298887,0.6764508485794067,0.0001,478.0939025878906,0.0002279277890920639,1244.1497131347655,-321.128317502743,5.834648790029178
동대문구,3,777,170000.0,-315.29366871271384,1.728847564663738e-06,0.0,0.1,-0.21758517473936081,0.5849326848983765,0.0001,573.9761352539062,6.172433495521546e-06,1370.7074829101562,-321.128317502743,5.834648790029178
마포구,3,123,20000.0,-487.0172135618866,1.3456679880619049e-05,0.0,0.1,-0.9083356201648712,0.001228928565979004,0.0001,3016.990966796875,0.0001916654407978058,5941.144873046875,-490.3667980298629,3.3495844679762854
마포구,3,123,40000.0,-486.9276682372136,1.9848812371492386e-07,0.0,0.1,-0.7671498954296112,0.0865212082862854,0.0001,2369.5341796875,8.528586477041245e-06,5753.239697265625,-490.3667980298629,3.4391297926492825
마포구,3,123,60000.0,-471.5829201136535,7.722992449998856e-07,0.0,0.1,-0.7732533156871796,0.35396456718444824,0.0001,2433.6962890625,4.409812390804291e-05,4210.706518554687,-490.3667980298629,18.783877916209406
마포구,3,123,80000.0,-467.3692232150435,5.171168595552444e-07,0.0,0.1,-0.78001748919487,0.2886168360710144,0.0001,2731.480712890625,3.071501851081848e-07,4778.5623046875,-490.3667980298629,22.99757481481936
마포구,3,123,100000.0,-445.27216982935215,4.5050401240587234e-06,0.0,0.1,-0.729732358455658,0.6770043969154358,0.0001,259.7817077636719,-0.0001727708615362644,614.1767883300781,-490.3667980298629,45.094628200510726
마포구,3,123,120000.0,-453.09674724289783,2.807704731822014e-05,0.0,0.1,-0.6785487771034241,0.8294825553894043,0.0001,21.750322341918945,-0.0003142626024782658,75.17801437377929,-490.3667980298629,37.270050786965044
마포구,3,123,140000.0,-461.53695670352624,6.528571248054504e-06,0.0,0.1,-0.8855151474475861,0.5820058584213257,0.0001,836.7256469726562,-0.00012481948360800743,1788.9538208007812,-490.3667980298629,28.829841326336634
마포구,3,123,160000.0,-446.9526008087722,0.0001617663074284792,0.0,0.1,-0.9729318618774414,0.8135760426521301,0.0001,391.8572082519531,9.94240865111351e-05,903.5471130371094,-490.3667980298629,43.41419722109066
