algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return,group_type
DQN,강북구,-35.24,-42.76560931451147,-42.76560931451147,-7.52560931451147,-7.52560931451147,170000.0,170000.0,9,logs/dqn_interactive_dqn_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,,Best
DQN,강남구,-531.69,-543.7441384035135,-550.8938208227071,-12.054138403513434,-19.20382082270703,40000.0,170000.0,9,logs/dqn_interactive_dqn_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,,Best
DQN,서초구,-288.84,-311.55929982149206,-311.55929982149206,-22.719299821492086,-22.719299821492086,170000.0,170000.0,9,logs/dqn_interactive_dqn_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,,Best
DQN,강서구,-3549.03,-3684.24984792009,-3764.504557886688,-135.2198479200897,-215.47455788668776,120000.0,170000.0,9,logs/dqn_interactive_dqn_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,,Worst
DQN,강동구,-662.9,-742.9895913427164,-745.8828548572586,-80.0895913427164,-82.98285485725864,80000.0,170000.0,9,logs/dqn_interactive_dqn_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,,Worst
DQN,광진구,-899.53,-966.6343093632073,-996.4997535740421,-67.10430936320734,-96.9697535740421,140000.0,170000.0,9,logs/dqn_interactive_dqn_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,,Worst
PPO,강서구,-3549.03,-3499.131901762946,-3668.6501293599113,49.898098237054,-119.62012935991106,40000.0,170000.0,9,logs/ppo_interactive_ppo_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,,Best
PPO,광진구,-899.53,-850.9369589691509,-850.9369589691509,48.59304103084912,48.59304103084912,170000.0,170000.0,9,logs/ppo_interactive_ppo_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,,Best
PPO,노원구,-800.31,-752.124905498524,-752.124905498524,48.18509450147599,48.18509450147599,20000.0,170000.0,9,logs/ppo_interactive_ppo_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,,Best
PPO,양천구,-1511.21,-1679.877725690895,-1731.1580130816235,-168.66772569089494,-219.94801308162346,160000.0,170000.0,9,logs/ppo_interactive_ppo_양천구/history.npy,128,111,4612053.0,5835159,111,0.8671875,,,Worst
PPO,마포구,-760.25,-814.2423557990278,-894.6366681535626,-53.99235579902779,-134.3866681535626,140000.0,170000.0,9,logs/ppo_interactive_ppo_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,,Worst
