algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
PPO,은평구,-241.77,-257.289623124343,-257.289623124343,-15.519623124342985,-15.519623124342985,160000.0,170000.0,9,logs/ppo_interactive_ppo_은평구/history.npy,118,98,1746039.0,5151076,98,0.8305084745762712,,
PPO,종로구,-371.95,-368.0413981057358,-395.14198937088855,3.908601894264166,-23.191989370888564,120000.0,170000.0,9,logs/ppo_interactive_ppo_종로구/history.npy,120,100,2326126.0,5256900,100,0.8333333333333334,,
PPO,중구,-244.27,-239.37280608151477,-239.37280608151477,4.897193918485243,4.897193918485243,170000.0,170000.0,9,logs/ppo_interactive_ppo_중구/history.npy,114,93,1716418.0,4888917,93,0.8157894736842105,,
PPO,중랑구,-301.3,-272.6133861447405,-272.6133861447405,28.68661385525951,28.68661385525951,100000.0,170000.0,9,logs/ppo_interactive_ppo_중랑구/history.npy,111,96,2087258.0,5045952,96,0.8648648648648649,,
DQN,강남구,-531.69,-543.7441384035135,-550.8938208227071,-12.054138403513434,-19.20382082270703,40000.0,170000.0,9,logs/dqn_interactive_dqn_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,
DQN,강동구,-662.9,-742.9895913427164,-745.8828548572586,-80.0895913427164,-82.98285485725864,80000.0,170000.0,9,logs/dqn_interactive_dqn_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,
DQN,강북구,-35.24,-42.76560931451147,-42.76560931451147,-7.52560931451147,-7.52560931451147,170000.0,170000.0,9,logs/dqn_interactive_dqn_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,
DQN,강서구,-3549.03,-3684.24984792009,-3764.504557886688,-135.2198479200897,-215.47455788668776,120000.0,170000.0,9,logs/dqn_interactive_dqn_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,
DQN,관악구,-143.52,-201.79214499251097,-206.51482946126254,-58.27214499251096,-62.994829461262526,100000.0,170000.0,9,logs/dqn_interactive_dqn_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,
DQN,광진구,-899.53,-966.6343093632073,-996.4997535740421,-67.10430936320734,-96.9697535740421,140000.0,170000.0,9,logs/dqn_interactive_dqn_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,
DQN,구로구,-847.08,-876.2435732876341,-903.6957333533607,-29.163573287634108,-56.61573335336061,140000.0,170000.0,9,logs/dqn_interactive_dqn_구로구/history.npy,129,115,3053386.0,6045320,115,0.8914728682170543,,
DQN,금천구,-357.09,-385.7030441363581,-388.8296664480568,-28.6130441363581,-31.739666448056823,120000.0,170000.0,9,logs/dqn_interactive_dqn_금천구/history.npy,84,76,1271514.0,3995168,76,0.9047619047619048,,
DQN,노원구,-800.31,-855.2625095419525,-880.7387462396556,-54.95250954195251,-80.42874623965565,140000.0,170000.0,9,logs/dqn_interactive_dqn_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,
DQN,도봉구,-124.93,-156.3531168778562,-164.67596288686715,-31.423116877856188,-39.74596288686715,160000.0,170000.0,9,logs/dqn_interactive_dqn_도봉구/history.npy,103,76,1550924.0,3995244,76,0.7378640776699029,,
DQN,동대문구,-473.82,-507.0048492656535,-527.4953770342943,-33.1848492656535,-53.675377034294286,120000.0,170000.0,9,logs/dqn_interactive_dqn_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,
DQN,동작구,-173.98,-213.1428893602078,-213.1428893602078,-39.1628893602078,-39.1628893602078,170000.0,170000.0,9,logs/dqn_interactive_dqn_동작구/history.npy,90,73,1326417.0,3837172,73,0.8111111111111111,,
DQN,마포구,-760.25,-809.1302375536534,-823.2430270731473,-48.88023755365339,-62.993027073147346,80000.0,170000.0,9,logs/dqn_interactive_dqn_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,
DQN,서대문구,-191.43,-238.5181130742224,-245.49735763438414,-47.088113074222406,-54.06735763438414,20000.0,170000.0,9,logs/dqn_interactive_dqn_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,
DQN,서초구,-288.84,-311.55929982149206,-311.55929982149206,-22.719299821492086,-22.719299821492086,170000.0,170000.0,9,logs/dqn_interactive_dqn_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,
DQN,성동구,-863.68,-927.774305016954,-927.774305016954,-64.09430501695408,-64.09430501695408,170000.0,170000.0,9,logs/dqn_interactive_dqn_성동구/history.npy,117,96,2779995.0,5046816,96,0.8205128205128205,,
DQN,성북구,-154.26,-202.41902729159347,-202.41902729159347,-48.159027291593475,-48.159027291593475,170000.0,170000.0,9,logs/dqn_interactive_dqn_성북구/history.npy,104,83,1535431.0,4363061,83,0.7980769230769231,,
DQN,송파구,-1988.42,-2043.3299077738714,-2074.6112103569926,-54.90990777387128,-86.19121035699254,100000.0,170000.0,9,logs/dqn_interactive_dqn_송파구/history.npy,245,216,6877106.0,11354256,216,0.8816326530612245,,
DQN,양천구,-1511.21,-1558.9795234603996,-1570.3817933777827,-47.76952346039957,-59.171793377782706,160000.0,170000.0,9,logs/dqn_interactive_dqn_양천구/history.npy,128,111,4612053.0,5835159,111,0.8671875,,
DQN,영등포구,-2440.1,-2498.133711596483,-2515.8056099583714,-58.033711596483045,-75.7056099583715,80000.0,170000.0,9,logs/dqn_interactive_dqn_영등포구/history.npy,202,177,6793154.0,9304182,177,0.8762376237623762,,
DQN,용산구,-104.37,-131.38126544673847,-145.63726809585816,-27.011265446738463,-41.26726809585816,20000.0,170000.0,9,logs/dqn_interactive_dqn_용산구/history.npy,101,87,1443059.0,4573242,87,0.8613861386138614,,
DQN,은평구,-241.77,-306.63555282926353,-306.63555282926353,-64.86555282926352,-64.86555282926352,170000.0,170000.0,9,logs/dqn_interactive_dqn_은평구/history.npy,118,98,1746039.0,5151076,98,0.8305084745762712,,
DQN,종로구,-371.95,-427.8421879004495,-447.93104051738294,-55.89218790044953,-75.98104051738295,80000.0,170000.0,9,logs/dqn_interactive_dqn_종로구/history.npy,120,100,2326126.0,5256900,100,0.8333333333333334,,
DQN,중구,-244.27,-281.6718252702937,-295.58307107985945,-37.4018252702937,-51.31307107985944,80000.0,170000.0,9,logs/dqn_interactive_dqn_중구/history.npy,114,93,1716418.0,4888917,93,0.8157894736842105,,
