algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
A2C,동대문구,-473.82,-441.5519656112605,-441.5519656112605,32.268034388739466,32.268034388739466,50.0,500.0,11,logs/actor_critic_interactive_a2c_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,
A2C,동작구,-173.98,-165.50472197524752,-165.50472197524752,8.47527802475247,8.47527802475247,150.0,500.0,11,logs/actor_critic_interactive_a2c_동작구/history.npy,90,73,1326417.0,3837172,73,0.8111111111111111,,
A2C,마포구,-760.25,-716.4626573213827,-716.4626573213827,43.78734267861728,43.78734267861728,50.0,500.0,11,logs/actor_critic_interactive_a2c_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,
A2C,서대문구,-191.43,-204.00272090077584,-204.16493300009083,-12.572720900775835,-12.73493300009082,200.0,500.0,11,logs/actor_critic_interactive_a2c_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,
A2C,서초구,-288.84,-263.762930659099,-285.3722924713612,25.077069340900948,3.467707528638755,50.0,500.0,11,logs/actor_critic_interactive_a2c_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,
A2C,성동구,-863.68,-840.7902813478933,-840.7902813478933,22.889718652106694,22.889718652106694,50.0,500.0,11,logs/actor_critic_interactive_a2c_성동구/history.npy,117,96,2779995.0,5046816,96,0.8205128205128205,,
A2C,성북구,-154.26,-160.49824190419355,-160.49824190419355,-6.238241904193558,-6.238241904193558,50.0,500.0,11,logs/actor_critic_interactive_a2c_성북구/history.npy,104,83,1535431.0,4363061,83,0.7980769230769231,,
A2C,송파구,-1988.42,-1943.3282453329914,-1943.3282453329914,45.09175466700867,45.09175466700867,50.0,500.0,11,logs/actor_critic_interactive_a2c_송파구/history.npy,245,216,6877106.0,11354256,216,0.8816326530612245,,
A2C,양천구,-1511.21,-1498.228009183716,-1498.228009183716,12.981990816283997,12.981990816283997,200.0,500.0,11,logs/actor_critic_interactive_a2c_양천구/history.npy,128,111,4612053.0,5835159,111,0.8671875,,
A2C,영등포구,-2440.1,-2447.7557333068303,-2471.658184045676,-7.655733306830371,-31.55818404567617,100.0,500.0,11,logs/actor_critic_interactive_a2c_영등포구/history.npy,202,177,6793154.0,9304182,177,0.8762376237623762,,
A2C,용산구,-104.37,-106.48133222642733,-106.48133222642733,-2.111332226427322,-2.111332226427322,50.0,500.0,11,logs/actor_critic_interactive_a2c_용산구/history.npy,101,87,1443059.0,4573242,87,0.8613861386138614,,
A2C,은평구,-241.77,-257.289623124343,-257.289623124343,-15.519623124342985,-15.519623124342985,50.0,500.0,11,logs/actor_critic_interactive_a2c_은평구/history.npy,118,98,1746039.0,5151076,98,0.8305084745762712,,
A2C,종로구,-371.95,-368.0460423878684,-368.0460423878684,3.9039576121315918,3.9039576121315918,50.0,500.0,11,logs/actor_critic_interactive_a2c_종로구/history.npy,120,100,2326126.0,5256900,100,0.8333333333333334,,
A2C,중구,-244.27,-239.37280608151477,-239.37280608151477,4.897193918485243,4.897193918485243,100.0,500.0,11,logs/actor_critic_interactive_a2c_중구/history.npy,114,93,1716418.0,4888917,93,0.8157894736842105,,
A2C,중랑구,-301.3,-272.6133861447405,-272.6133861447405,28.68661385525951,28.68661385525951,100.0,500.0,11,logs/actor_critic_interactive_a2c_중랑구/history.npy,111,96,2087258.0,5045952,96,0.8648648648648649,,
PPO,강남구,-531.69,-508.2761188813807,-508.2761188813807,23.413881118619372,23.413881118619372,170000.0,170000.0,9,logs/ppo_interactive_ppo_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,
PPO,강동구,-662.9,-639.9002773072509,-639.9002773072509,22.99972269274906,22.99972269274906,160000.0,170000.0,9,logs/ppo_interactive_ppo_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,
PPO,강북구,-35.24,-39.17180118035043,-43.426002209099146,-3.9318011803504263,-8.186002209099144,20000.0,170000.0,9,logs/ppo_interactive_ppo_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,
PPO,강서구,-3549.03,-3499.131901762946,-3668.6501293599113,49.898098237054,-119.62012935991106,40000.0,170000.0,9,logs/ppo_interactive_ppo_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,
PPO,관악구,-143.52,-162.0902974600299,-162.0902974600299,-18.570297460029877,-18.570297460029877,20000.0,170000.0,9,logs/ppo_interactive_ppo_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,
PPO,광진구,-899.53,-850.9369589691509,-850.9369589691509,48.59304103084912,48.59304103084912,170000.0,170000.0,9,logs/ppo_interactive_ppo_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,
PPO,구로구,-847.08,-887.9764871909617,-941.099326191357,-40.89648719096169,-94.01932619135698,120000.0,170000.0,9,logs/ppo_interactive_ppo_구로구/history.npy,129,115,3053386.0,6045320,115,0.8914728682170543,,
PPO,금천구,-357.09,-351.4403743909632,-387.94943894156,5.649625609036775,-30.85943894156003,140000.0,170000.0,9,logs/ppo_interactive_ppo_금천구/history.npy,84,76,1271514.0,3995168,76,0.9047619047619048,,
PPO,노원구,-800.31,-752.124905498524,-752.124905498524,48.18509450147599,48.18509450147599,20000.0,170000.0,9,logs/ppo_interactive_ppo_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,
PPO,도봉구,-124.93,-134.33236685347046,-136.16446521923157,-9.402366853470454,-11.234465219231566,60000.0,170000.0,9,logs/ppo_interactive_ppo_도봉구/history.npy,103,76,1550924.0,3995244,76,0.7378640776699029,,
PPO,동대문구,-473.82,-441.5519656112605,-441.5519656112605,32.268034388739466,32.268034388739466,80000.0,170000.0,9,logs/ppo_interactive_ppo_동대문구/history.npy,110,91,2537854.0,4784052,91,0.8272727272727273,,
PPO,동작구,-173.98,-165.50472197524752,-172.7531889413072,8.47527802475247,1.226811058692789,40000.0,170000.0,9,logs/ppo_interactive_ppo_동작구/history.npy,90,73,1326417.0,3837172,73,0.8111111111111111,,
PPO,마포구,-760.25,-814.2423557990278,-894.6366681535626,-53.99235579902779,-134.3866681535626,140000.0,170000.0,9,logs/ppo_interactive_ppo_마포구/history.npy,146,122,3506436.0,6413662,122,0.8356164383561644,,
PPO,서대문구,-191.43,-211.10450463931485,-224.0237911822324,-19.674504639314847,-32.593791182232394,80000.0,170000.0,9,logs/ppo_interactive_ppo_서대문구/history.npy,96,80,1318854.0,4205120,80,0.8333333333333334,,
PPO,서초구,-288.84,-270.9353588066635,-270.9353588066635,17.904641193336488,17.904641193336488,170000.0,170000.0,9,logs/ppo_interactive_ppo_서초구/history.npy,171,143,2137382.0,7517081,143,0.8362573099415205,,
PPO,성동구,-863.68,-840.3816597202084,-840.7902813478933,23.298340279791546,22.889718652106694,140000.0,170000.0,9,logs/ppo_interactive_ppo_성동구/history.npy,117,96,2779995.0,5046816,96,0.8205128205128205,,
PPO,성북구,-154.26,-160.49824190419355,-210.99380525764607,-6.238241904193558,-56.73380525764608,20000.0,170000.0,9,logs/ppo_interactive_ppo_성북구/history.npy,104,83,1535431.0,4363061,83,0.7980769230769231,,
PPO,송파구,-1988.42,-2004.709767428168,-2201.766342962063,-16.289767428168034,-213.34634296206286,20000.0,170000.0,9,logs/ppo_interactive_ppo_송파구/history.npy,245,216,6877106.0,11354256,216,0.8816326530612245,,
PPO,양천구,-1511.21,-1679.877725690895,-1731.1580130816235,-168.66772569089494,-219.94801308162346,160000.0,170000.0,9,logs/ppo_interactive_ppo_양천구/history.npy,128,111,4612053.0,5835159,111,0.8671875,,
PPO,영등포구,-2440.1,-2490.672605294389,-2602.123501829156,-50.57260529438918,-162.02350182915598,40000.0,170000.0,9,logs/ppo_interactive_ppo_영등포구/history.npy,202,177,6793154.0,9304182,177,0.8762376237623762,,
PPO,용산구,-104.37,-106.48133222642733,-106.48133222642733,-2.111332226427322,-2.111332226427322,60000.0,170000.0,9,logs/ppo_interactive_ppo_용산구/history.npy,101,87,1443059.0,4573242,87,0.8613861386138614,,
